1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: English unisex name derived from the vocabulary word, "spirit," from Latin spiritus, meaning "breath." | male. SPIRIT
1: English unisex name derived from the vocabulary word, "storm." | female. STORM
1: English unisex name derived from the vocabulary word, "storm." | male. STORM
1: English unisex name, derived from vocabulary word indigo, from Greek indikon, meaning "blue dye from India." | female. INDIGO
1: English unisex name, derived from vocabulary word indigo, from Greek indikon, meaning "blue dye from India." | male. INDIGO
1: English unisex name derived from Welsh Meredydd, probably meaning "sea day" or "sea sun." | female. MEREDITH
1: English unisex name derived from Welsh Meredydd, probably meaning "sea day" or "sea sun." | male. MEREDITH
1: English unisex name meaning, "a Breton." | female. BRETT
1: English unisex name meaning, "a Breton." | male. BRETT
1: English unisex name meaning "patrician; of noble birth." It is a pet form of both English Patrick and Latin Patricia. | female. PATSY
1: English unisex name meaning "patrician; of noble birth." It is a pet form of both English Patrick and Latin Patricia. | male. PATSY
1: English unisex name meaning "silver," which may refer to either the precious metal or the color. | female. SILVER
1: English unisex name meaning "silver," which may refer to either the precious metal or the color. | male. SILVER
1: English unisex name which can mean either "sage (the spice)" or "profoundly wise one." | female. SAGE
1: English unisex name which can mean either "sage (the spice)" or "profoundly wise one." | male. SAGE
1: English unisex pet form of Anthony and Antonia, both possibly meaning "invaluable." | female. TONY
1: English unisex pet form of Anthony and Antonia, possibly meaning "invaluable." | male. TONY
1: English unisex pet form of John and Johnna, both meaning "God is gracious." | female. JOHNNIE
1: English unisex pet form of John and Johnna, both meaning "God is gracious." | male. JOHNNIE
1: English unisex pet form of Latin Alexandra and English Alexander, both meaning "defender of mankind." | female. SANDY
1: English unisex pet form of Latin Alexandra and English Alexander, both meaning "defender of mankind." | male. SANDY
1: English unisex pet form of Latin Anastasia and Anastasius, both meaning "resurrection." | female. STACEY
1: English unisex pet form of Latin Anastasia and Anastasius, both meaning "resurrection." | male. STACEY
1: English unisex short form of Alexandra and Alexander, meaning "defender of mankind." | female. ALEX
1: English unisex short form of Alexandra and Alexander, meaning "defender of mankind." | male. ALEX
1: English unisex short form of English Patrick and Latin Patricia, meaning "patrician; of noble birth." | female. PAT
1: English unisex short form of English Patrick and Latin Patricia, meaning "patrician; of noble birth." | male. PAT
1: English unisex short form of French Louis and Louise, both meaning "famous warrior." | female. LOU
1: English unisex short form of French Louis and Louise, both meaning "famous warrior." | male. LOU
1: English unisex short form of Latin Victor "conqueror" and Victoria "conqueror" or "victory." | female. VIC
1: English unisex short form of Latin Victor "conqueror" and Victoria "conqueror" or "victory." | male. VIC
1: English unisex short form of longer names beginning with Chris-. | female. CHRIS
1: English unisex short form of longer names beginning with Chris-. | male. CHRIS
1: English unisex short form of longer names beginning with Kris-. | female. KRIS
1: English unisex short form of longer names beginning with Kris-. | male. KRIS
1: English unisex short form of longer names beginning with the letter "D." In some cases, it may be of Scottish origin, associated with the River Dee, possibly meaning "dark water." Compare with strictly feminine Dee. | male. DEE
1: English unisex short form of longer names beginning with the letter "D." In some cases, it may be of Scottish origin, associated with the River Dee, possibly meaning "dark water."Short form of English Deena, meaning "dean, head, leader." | female. DEE
1: English variant of French Pépin, meaning "seed of a fruit." | male. PIPPIN
1: English variant of Spanish Alicia, meaning "noble sort." | female. ALYCIA
1: English variant of the word "color" used as a name. | female. KOLOUR
1: Feminine form of Latin Adrianus, Spanish Adriï��n, and Italian Adriano, all meaning"from Hadria." | female. ADRIANA
1: Feminine variant of English unisex Ashley, meaning "ash-tree grove." | female. ASHLIE
1: Feminine variant of English unisex Meredith, meaning "sea day" or "sea sun." | female. MERIDETH
1: Finnish form of Latin Christina, meaning "believer" or "follower of Christ." | female. KIRSTI
1: First used in the 1920s, this English name was derived from the name of a Scottish river, possibly meaning "friendly river." | male. KELVIN
1: French name, meaning "the king." In use by the English. | male. LEROY
1: French name, possibly a diminutive form of Latin laude ("praise"), hence "little praiseworthy one." In Arthurian legend, Laudine is known as the Lady of the Fountain, the ruler of the mystical Castle of Landuc near a magical spring in Broceliande Forest guarded by her husband Esclados. When water from this magic spring was poured onto a nearby basin, a huge storm would begin. Calogrenant did this and was beaten for it. To avenge his cousin, Ywain killed Esclados. He fell instantly in love with Laudine the moment he saw her. Laudine's servant Lunete talked her into marrying him. | female. LAUDINE
