AGAF|Afutara Airport|Afutara
LKPS|Plasy Airport|Plasy
LKRA|Raná u Loun Airport|Raná u Loun
LKRK|Rakovník Airport|Rakovník
LKRO|Roudnice Airport|Roudnice
LKSA|Staňkov Airport|Staňkov
LKSK|Skuteč Airport|Skuteč
LKSN|Slaný Airport|Slaný
LKSO|Soběslav Airport|Soběslav
LKSR|Strunkovice Airport|Strunkovice
LKST|Strakonice Airport|Strakonice
LKSU|Šumperk Airport|Šumperk
LKSZ|Sazená Airport|Sazená
LKTA|Tábor Airport|Tábor
LKTB|Brno-Tuřany Airport|Brno
LKTC|Točná Airport|Točná
LKTO|Toužim Airport|Toužim
LKUO|Ústí nad Orlicí Airport|Ústí nad Orlicí
LKVL|Vlašim Airport|Vlašim
LKVM|Vysoké Mýto Airport|Vysoké Mýto
LKVO|Vodochody Airport|Vodochody
LKVP|Velké Poříčí Airport|Velké Poříčí
LKVR|Vrchlabí Airport|Vrchlabí
LKVY|Vyškov Airport|Vyškov
LKZA|Zábřeh Airport|Zábřeh
LKZB|Zbraslavice Airport|Zbraslavice
LLBG|Ben Gurion International Airport|Lod / Tel Aviv
LLBS|Be'er Sheva Airport (Teyman Airport)|Beersheba (Be'er Sheva)
LLEK|Tel Nof Israeli Air Force Base|Tel Nof (Tel Nov)
LLES|Ein Shemer Airfield|Ein Shemer (Eyn-Shemer)
LLET|Eilat Airport (J. Hozman Airport)|Eilat
LLEY|Ein Yahav Airfield|Ein Yahav (Eyn-Yahav)
LLFK|Fiq Airfield|Fiq, Golan Heights
LLHA|Haifa International Airport (U. Michaeli Airport)|Haifa
LLHB|Hatzerim Airbase (Hatzerim)|Beersheba (Be'er Sheva)
LLHS|Hatzor Airbase|Hatzor
LLHZ|Herzliya Airport|Herzliya (Herzlia)
LLIB|Rosh Pina Airport (Ben Ya'aqov Airport)|Rosh-Pina
LLJR|Atarot Airport (Jerusalem International Airport)|Jerusalem (currently closed)
LLKS|Qiryat Shemona Airport|Qiryat Shemona (Kiryat-Shmona)
LLMG|Megiddo Airport|Megiddo (Meggido)
LLMR|Mitzpe Ramon Airfield|Mitzpe Ramon
LLMZ|Bar Yehuda Airfield|Masada
LLNV|Nevatim Israeli Air Force Base|Nevatim
LLOV|Ovda International Airport|Negev
LLRD|Ramat David Israeli Air Force Base|Megiddo
LLRM|Ramon Airbase|Mitzpe Ramon
LLSD|Sde Dov Airport (Dov Hoz Airport)|Tel Aviv
LLYT|Yotvata Airfield|Yotvata
LMML|Malta International Airport (Luqa Airport)|Luqa
LNMC|Monaco Heliport|Monte Carlo
LOAN|Wiener Neustadt East Airport|Wiener Neustadt, Lower Austria
LOKF|Feldkirchen Airfield|Ossiacher See
LOLG|St. Georgen Airfield [1]|Leutzmannsdorf
LOLO|Linz Ost Airfield (Linz East Airfield)|Linz, Upper Austria
LOLW|Wels Airport|Wels, Upper Austria
LOWG|Graz Airport (Thalerhof Airport)|Graz, Styria
LOWI|Innsbruck Airport (Kranebitten Airport)|Innsbruck, Tyrol
LOWK|Klagenfurt Airport (Woerthersee Airport)|Klagenfurt, Carinthia
LOWL|Linz Airport (Blue Danube Airport)|Linz, Upper Austria
LOWS|Salzburg Airport (W. A. Mozart Airport)|Salzburg, Salzburg
LOWW|Vienna International Airport (Schwechat Airport)|Vienna
LOXZ|Zeltweg Air Base|Zeltweg, Styria
LPAR|Alverca Air Base|Alverca do Ribatejo, Vila Franca de Xira
LPAV|São Jacinto Airport (Aveiro Airport)|Aveiro
LPBG|Bragança Airport|Bragança
LPBJ|Beja Air Base|Beja
LPBR|Braga Airport|Palmeira,Braga
LPCH|Chaves Airport|Chaves
LPCO|Coimbra Airport (Antanhol / Cernache /Coimbra) Bissaya Barreto Airport|Coimbra
LPCS|Tires Airport ,São Domingos da Rana, (Cascais Airport) Tires,Cascais|Cascais / Estoril - Sintra Coast / Greater Lisbon
LPCV|Covilhã Airport|Covilhã / Cova da Beira / Guarda / Beiras / Serra da Estrela
LPEV|Évora Airport|Évora / Alentejo Central
LPFR|Faro Airport|Faro / Algarve Int. Faro
LPIN|Espinho Airport|Paramos / Silvalde/Espinho
LPMF|Monfortinho Airport|Monfortinho, Idanha-a-Nova
LPMI|Mirandela Airport|Mirandela
LPMO|Montargil Airport|Montargil, Ponte de Sor
LPMR|Monte Real Air Base|Monte Real, Leiria
LPMT|Montijo Air Base|Montijo
LPOT|Ota Air Base|Ota, Alenquer
LPOV|Ovar Air Base|Maceda,Ovar
LPPM|Portimão Airport|Montes de Alvor /Penina / Alvor, Portimão,Barlavento Algarvio
LPPR- Francisco Sá Carneiro Airport Int.|Porto / Oporto|Pedras Rubras,Moreira,Maia;Greater Porto area:Matosinhos,Vila do Conde,Maia,Grande Porto
LPPT|Portela Airport (Lisbon Airport), Lisbon / Lisboa|Portela,Lisbon / Prior Velho, Loures ( Lisbon) Int.
LPPV|Praia Verde Airport|Praia Verde,Altura Castro Marim / Tavira / Sotavento area.
LPSC|Santa Cruz Airport Torres Vedras /Santa Cruz Beach|Praia de Santa Cruz, Torres Vedras
LPSI|Sines Airport|Sines /Alentejo Litoral
LPSR|Santarém Airport|Santarém
LPST|Sintra Air Base|Granja do Marquês / Pero Pinheiro, Sintra
LPTN|Tancos Air Base|Tancos, Vila Nova da Barquinha, Médio Tejo
LPVL|Maia Airport {Maia Airfield} (Vilar da Luz Airport)|Maia
LPVM|Vilamoura Airport|Vilamoura / Quarteira, Loulé
LPVR|Vila Real Airport|Vila Real / Alto Douro
LPVZ|Viseu Airport (Gonçalves Lobato Airport)|Lordosa, Viseu (Viséu)
LPAZ|Santa Maria Airport|Santa Maria Island / Vila do Porto
LPCR|Corvo Airport|Corvo Island / Vila do Corvo
LPFL|Flores Airport|Flores Island / Santa Cruz das Flores
LPGR|Graciosa Airport|Graciosa Island / Santa Cruz da Graciosa
LPHR|Horta Airport|Horta, Faial Island
LPLA|Lajes Air Base Int.|Terceira Island /Praia da Vitoria /Angra do Heroísmo area
LPPD|Ponta Delgada João Paulo II Airport ,formerlyNordela Int.|Ponta Delgada, São Miguel Island
LPPI|Pico Airport|Pico Island (Madalena,São Roque do Pico,Lajes do Pico)
LPSJ|São Jorge Airport|São Jorge Island /Velas
LPMA|Madeira Airport Int. (Funchal Airport)|Funchal, Madeira Island (Santa Cruz) /Funchal area {Madeira Island}
LPPS|Porto Santo Airport|Porto Santo Island / Vila Baleira {Porto Santo Island}
LQBI|Bihać Airport|Bihać
LQBK|Banja Luka International Airport|Banja Luka
LQBU|Sarajevo Butmir Airport|Sarajevo
LQBZ|Banja Luka Zalužani Airport|Banja Luka
LQCO|Ćoralići Airport|Ćoralići
LQGL|Glamoč Airport|Glamoč
LQJL|Tuzla Jegen Lug Airport|Tuzla
LQKU|Kupres Bajramovići Airport|Kupres
LQLV|Livno Airport|Livno
LQMJ|Mostar Jasenica Airport|Mostar
LQMO|Mostar International Airport|Mostar
LQPD|Prijedor Airport|Prijedor
LQSA|Sarajevo International Airport|Sarajevo
LQSV|Sarajevo Military Airport|Sarajevo
LQTG|Tomislavgrad Airport|Tomislavgrad
LQTR|Novi Travnik Airport|Novi Travnik
LQTZ|Tuzla International Airport|Tuzla
LQVI|Visoko Airport|Visoko
LRAR|Arad International Airport|Arad
LRBC|Bacău International Airport|Bacău
LRBM|Baia Mare Airport|Baia Mare
LRBS|Bucharest "Aurel Vlaicu" Vlaicu International Airport|Bucharest
LRCK|Constanţa "Mihail Kogălniceanu" International Airport|Constanţa
LRCL|Cluj-Napoca International Airport|Cluj-Napoca
LRCS|Caransebeş Airport|Reşiţa
LRCV|Craiova Airport|Craiova
LRIA|Iaşi International Airport|Iaşi
LROD|Oradea International Airport|Oradea
LROP|Bucharest "Henri Coandǎ" International Airport|Bucharest
LRSB|Sibiu International Airport|Sibiu
LRSM|Satu Mare International Airport|Satu Mare
LRSV|Suceava Airport|Suceava
LRTC|Tulcea Airport|Tulcea
LRTM|Târgu Mureş International Airport|Târgu-Mureş
LRTR|Timişoara "Traian Vuia" International Airport|Timişoara
LSER|Raron Heliport|Raron
LSEZ|Zermatt Heliport|Zermatt
LSGB|Bex Airport|Bex
LSGC|Les Eplatures Airport|La Chaux-de-Fonds
LSGE|Fribourg-Ecuvillens Airfield|Ecuvillens
LSGG|Geneva Cointrin International Airport|Geneva
LSGK|Saanen Airport|Saanen
LSGL|Lausanne Airport|Lausanne / Blécherette
LSGN|Neuchâtel Airport|Neuchâtel
LSGP|La Côte Airport|La Côte
LSGR|Reichenbach Airport|Reichenbach
LSGS|Sion Airport|Sion (ICAO code applies to civilian airport)
LSGT|Gruyères Airport|Gruyères
LSGY|Yverdon-les-Bains Airport|Yverdon-les-Bains
LSHC|Collombey-Muraz Heliport|Collombey-Muraz
LSHG|Gampel Heliport|Gampel
LSMA|Alpnach Air Base|Alpnach (military)
LSMD|Dübendorf Air Base|Dübendorf (military)
LSME|Emmen Air Base|Emmen (military)
LSMM|Meiringen Air Base|Meiringen (military)
LSMP|Payerne Air Base|Payerne (military)
LSMS|Sion Air Base|Sion (military)
LSPA|Amlikon Airport|Amlikon
LSPD|Dittingen Airport|Dittingen
LSPF|Schaffhausen Airport|Schaffhausen
LSPG|Kägiswil Airport|Kägiswil
LSPH|Winterthur Airport|Winterthur
LSPK|Hasenstrick Airport|Hasenstrick
LSPL|Langenthal Airport|Langenthal
LSPM|Ambri Airport|Ambri
LSPN|Triengen Airport|Triengen
LSPO|Olten Airport|Olten
LSPV|Wangen-Lachen Airport|Wangen-Lachen
LSTB|Bellechasse Airport|Bellechasse, Canton of Fribourg
LSTO|Môtiers Airport|Môtiers
LSTR|Montricher Airport|Montricher
LSTS|St. Stephan Airport|St. Stephan
LSXB|Balzers Heliport|Balzers
LSXG|Gsteigwiler Heliport|Gsteigwiler
LSXI|Interlaken Heliport|Interlaken
LSXK|Benken Heliport|Benken
LSXL|Lauterbrunnen Heliport|Lauterbrunnen
LSXO|Trogen Heliport|Trogen
LSXS|Schindellegi Heliport|Schindellegi
LSXT|Trogen Heliport|Trogen
LSXU|Untervaz Heliport|Untervaz
LSXW|Würenlingen Heliport|Würenlingen
LSXY|Leysin Heliport|Leysin
LSZA|Lugano Airport|Lugano / Agno
LSZB|Berne Airport|Berne / Belp
LSZC|Buochs Airport|Buochs
LSZD|Ascona Airport|Ascona
LSZE|Bad Ragaz Airport|Bad Ragaz
LSZF|Birrfeld Airport|Birrfeld
LSZG|Grenchen Airport|Grenchen
LSZH|Zürich Airport (Kloten Airport)|Zürich / Kloten
LSZI|Fricktal-Schupfart Airport|Fricktal-Schupfart
LSZJ|Courtelary Airport|Courtelary
LSZK|Speck-Fehraltorf Airport|Speck-Fehraltorf
LSZL|Locarno Airport|Locarno
LSZN|Hausen am Albis Airport|Hausen am Albis
LSZO|Luzern-Beromünster Airport|Luzern-Beromünster
LSZP|Biel-Kappelen Airport|Biel-Kappelen
LSZR|St. Gallen-Altenrhein Airport|St. Gallen / Altenrhein
LSZS|Samedan Airport (Engadin Airport)|Samedan
LSZT|Lommis Airport|Lommis
LSZU|Buttwil Airport|Buttwil
LSZV|Sitterdorf Airport|Sitterdorf
LSZW|Thun Airport|Thun
LSZX|Schänis Airport|Schänis
LSZY|Porrentruy Airport|Porrentruy
LFSB|EuroAirport Basel-Mulhouse-Freiburg|Basel (Switzerland), Mulhouse (France) and Freiburg (Germany)
LTAC|Ankara Esenboğa International Airport|Ankara
LTAF|Adana Şakirpaşa Airport|Adana
LTAI|Antalya Airport|Antalya
LTAJ|Oğuzeli Airport|Gaziantep
LTAK|Hatay Airport|Antakya
LTAL|Kastamonu Airport|Kastamonu
LTAN|Konya Airport|Konya
LTAR|Sivas Airport|Sivas
LTAT|Malatya Erhaç Airport|Malatya
LTAU|Kayseri Erkilet International Airport|Kayseri
LTAY|Denizli Çardak Airport|Denizli
LTAZ|Nevşehir Kapadokya Airport|Nevşehir
LTBA|Istanbul Atatürk International Airport|Istanbul
LTBH|Çanakkale Airport|Çanakkale
LTBJ|İzmir Adnan Menderes Airport|İzmir
LTBR|Bursa Yenişehir Airport|Bursa
LTBS|Dalaman Airport|Muğla
LTBU|Çorlu Airport|Tekirdağ
LTBW|Istanbul Hezarfen Airfield|Istanbul
LTCA|Elazığ Airport|Elazığ
LTCC|Diyarbakır Airport|Diyarbakır
LTCD|Erzincan Airport|Erzincan
LTCE|Erzurum Airport|Erzurum
LTCF|Kars Airport|Kars
LTCG|Trabzon Airport|Trabzon
LTCH|Şanlıurfa Airport|Şanlıurfa
LTCI|Van Ferit Melen Airport|Van
LTCJ|Batman Airport|Batman
LTCK|Muş Airport|Muş
LTCL|Siirt Airport|Siirt
LTCN|Kahramanmaraş Airport|Kahramanmaraş
LTCO|Ağrı Airport|Ağrı
LTCP|Adıyaman Airport|Adıyaman
LTCR|Mardin Airport|Mardin
LTCS|Şanlıurfa GAP Airport|Şanlıurfa
LTFC|Süleyman Demirel Airport|Isparta
LTFD|Edremit Körfez Airport|Balıkesir
LTFE|Milas-Bodrum Airport|Milas
LTFH|Samsun-Çarşamba Airport|Samsun
LTFJ|Istanbul Sabiha Gökçen International Airport|Istanbul
LUBL|Bălţi Airport|Bălţi
LUBM|Mărculeşti Airport|Mărculeşti
LUCH|Cahul Airport|Cahul
LUCM|Camenca Airport|Camenca
LUKK|Chişinău International Airport|Chişinău
LUSR|Soroca Airport|Soroca
LUTG|Tighina Airport|Tighina
LUTR|Tiraspol Airport|Tiraspol
LVGZ|Yasser Arafat International Airport (formerly Gaza International Airport)|Rafah
LWOH|Ohrid Airport|Ohrid
LWSK|Skopje Airport|Skopje
LXGB|Gibraltar Airport|Gibraltar
LYBE|Belgrade Nikola Tesla International Airport|Belgrade
LYBT|Batajnica Airport|Batajnica / Belgrade
LYKV|Kraljevo-Lađevci Airport|Kraljevo
LYNI|Niš Constantine the Great International Airport|Niš
LYNS|Novi Sad-Čenej Airport|Novi Sad
LYTR|Trstenik Airport|Trstenik
LYUZ|Užice-Ponikve Airport|Užice
LYVR|Vršac Airport|Vršac
LYZR|Zrenjanin Airport|Zrenjanin
LYBR|Berane Airport|Berane, Montenegro
LYPJ|Golubovci Airbase|Golubovci, Montenegro
LYNK|Kapino Polje Airport|Nikšić, Montenegro
LYPG|Podgorica Airport|Podgorica, Montenegro
LYPO|Ćemovsko Polje Airport|Podgorica, Montenegro
LYTV|Tivat Airport|Tivat, Montenegro
LZIB|Milan Rastislav Štefánik Airport (Bratislava Airport)|Bratislava
LZKZ|Košice International Airport|Košice
LZPP|Piešťany Airport|Piešťany
LZSE|Senica Airport|Senica
LZSL|Sliač Airport|Sliač
LZTT|Poprad-Tatry Airport|Poprad
LZZI|Žilina Airport|Žilina
MBGT|JAGS McCartney International Airport (Grand Turk Int'l)|Grand Turk Island
MBMC|Middle Caicos Airport|Middle Caicos
MBNC|North Caicos Airport|North Caicos
MBPI|Pine Cay Airport|Pine Cay
MBPV|Providenciales International Airport|Providenciales
MBSC|South Caicos Airport|South Caicos
MBSY|Salt Cay Airport|Salt Cay
MBAC|Harold Charles International Airport|Ambergris Cay
MDAB|Arroyo Barril International Airport|Samaná
MDBH|María Montez International Airport|Barahona
MDCR|Cabo Rojo Airport|Pedernales
MDCZ|Constanza Airport|Constanza
MDCY|Samaná El Catey International Airport|Samaná
MDJB|La Isabela International Airport (Dr. Joaquín Balaguer)|Santo Domingo
MDLR|La Romana International Airport|La Romana
MDPC|Punta Cana International Airport|Punta Cana / Higüey
MDPO|El Portillo Airport|Samaná
MDPP|Gregorio Luperón International Airport|Puerto Plata
MDSB|Sabana de la Mar Airport|Sabana de la Mar
MDSD|Las Américas-JFPG International Airport (Dr. José Fco. Peña Gómez)|Punta Caucedo (near Santo Domingo)
MDSI|San Isidro Air Base|San Isidro
MDSJ|San Juan de la Maguana Airport|San Juan de la Maguana
MDST|Cibao International Airport (Santiago Municipal)|Santiago
MGBN|Bananera Airport|Bananera, Izabal
MGCB|Cobán Airport|Cobán, Alta Verapaz
MGCR|Carmelita Airport|Carmelita, El Petén
MGCT|Coatepeque Airport|Coatepeque, Quetzaltenango
MGES|Esquipulas Airport|Esquipulas, Chiquimula
MGGT|La Aurora International Airport|Guatemala City
MGHT|Huehuetenango Airport|Huehuetenango, Huehuetenango
MGLL|La Libertad Airport|La Libertad, El Petén
MGML|Malacatan Airport|Malacatan, San Marcos
MGMM|Melchor de Mencos Airport|Melchor de Mencos, El Petén
MGPB|Puerto Barrios Airport|Puerto Barrios, Izabal
MGPP|Poptun Airport|Poptún, El Petén
MGQC|Quiché Airport|Quiché, El Quiché
MGQZ|Quetzaltenango Airport|Quetzaltenango, Quetzaltenango
MGRB|Rubelsanto Airport|Rubelsanto, Alta Verapaz
MGRT|Retalhuleu Airport / Base Aérea del Sur|Retalhuleu, Retalhuleu
MGSJ|San José Airport|Puerto San José, Escuintla
MGSM|San Marcos Airport|San Marcos, San Marcos
MGTK|Mundo Maya International Airport (Santa Elena)|Flores, El Petén
MGZA|Zacapa Airport|Zacapa, Zacapa
MHAM|Amapala Airport (Los Pelonas)|Amapala
MHCA|Catacamas Airport|Catacamas
MHCC|Cenamer ACC/FIC|Cenamer
MHCG|Comayagua Airport|Comayagua
MHCH|Choluteca Airport|Choluteca
MHCT|Puerto Castilla Airport|Puerto Castilla
MHDU|Mocorón Airport (Durzona)|Mocorón
MHIC|Isla del Cisne Airport|Isla del Cisne
MHJU|Juticalpa Airport|Juticalpa
MHLC|Golosón International Airport|La Ceiba
MHLE|La Esperanza Airport|La Esperanza
MHLM|Ramón Villeda Morales International Airport|La Mesa (near San Pedro Sula) (MHSP)
MHMA|Marcala Airport|Marcala
MHNJ|Guanaja Airport|Guanaja
MHNV|Nuevo Ocotepeque Airport|Nuevo Ocotepeque
MHOA|Olanchito Airport|Olanchito
MHPE|El Progreso Airport|El Progreso
MHPL|Puerto Lempira Airport|Puerto Lempira
MHPU|Puerto Cortes Airport|Puerto Cortes
MHRO|Juan Manuel Gálvez International Airport (Roatán Intl)|Roatán
MHRU|Ruinas de Copan Airport|Ruinas de Copan
MHSB|Santa Bárbara Airport|Santa Bárbara (MHSZ)
MHSC|Palmerola Air Base (Coronel Enrique Soto Cano Air Base)|Comayagua (MHPA/ENQ)
MHSR|Santa Rosa de Copán Airport|Santa Rosa de Copán
MHTG|Toncontín International Airport|Tegucigalpa
MHTJ|Trujillo Airport|Trujillo
MHTL|Tela Airport|Tela (MHTE)
MHUT|Útila Airport|Útila
MHYR|Yoro Airport|Yoro
MKBS|Boscobel Aerodrome|Ocho Rios
MKJP|Norman Manley International Airport|Kingston
MKJS|Sangster International Airport|Montego Bay
MKKJ|Ken Jones Airport|Port Antonio
MKNG|Negril Airport|Negril
MKTP|Tinson Pen Airport|Kingston
MMAA|General Juan N. Álvarez International Airport|Acapulco, Guerrero
MMAS|Lic. Jesús Terán Peredo International Airport|Aguascalientes, Aguascalientes
MMBT|Bahías de Huatulco International Airport|Huatulco, Oaxaca
MMCB|General Mariano Matamoros Airport|Cuernavaca, Morelos
MMCC|Ciudad Acuña International Airport|Ciudad Acuña, Coahuila
MMCE|Ciudad del Carmen International Airport|Ciudad del Carmen, Campeche
MMCL|Federal de Bachigualato International Airport|Culiacán, Sinaloa
MMCM|Chetumal International Airport|Chetumal, Quintana Roo
MMCN|Ciudad Obregón International Airport|Ciudad Obregón, Sonora
MMCP|Ing. Alberto Acuña Ongay International Airport|Campeche, Campeche
MMCS|Abraham González International Airport|Ciudad Juárez, Chihuahua
MMCU|General Roberto Fierro Villalobos International Airport|Chihuahua, Chihuahua
MMCV|General Pedro J. Méndez National Airport|Ciudad Victoria, Tamaulipas
MMCY|Captain Rogelio Castillo National Airport|Celaya, Guanajuato
MMCZ|Cozumel International Airport|Cozumel, Quintana Roo
MMDO|General Guadalupe Victoria International Airport|Durango, Durango
MMEP|Amado Nervo National Airport|Tepic, Nayarit
MMES|Ensenada Airport|Ensenada, Baja California
MMGL|Don Miguel Hidalgo y Costilla International Airport|Guadalajara, Jalisco
MMGM|General José María Yáñez International Airport|Guaymas, Sonora
MMGR|Guerrero Negro Airport|Guerrero Negro, Baja California Sur
MMHO|General Ignacio Pesqueira Garcia International Airport|Hermosillo, Sonora
MMIA|Lic. Miguel de la Madrid Airport|Colima, Colima
MMIO|Plan de Guadalupe International Airport|Saltillo, Coahuila
MMJA|El Lencero Airport|Jalapa (Xalapa), Veracruz
MMLC|Lázaro Cárdenas Airport|Lázaro Cárdenas, Michoacán
MMLM|Federal del Valle del Fuerte International Airport|Los Mochis, Sinaloa
MMLO|Aeropuerto Internacional de Guanajuato (known as Del Bajío)|Silao, Guanajuato
MMLP|Manuel Márquez de León International Airport|La Paz, Baja California Sur
MMLT|Loreto International Airport|Loreto, Baja California Sur
MMMA|General Servando Canales International Airport|Matamoros, Tamaulipas
MMMD|Manuel Crescencio Rejón International Airport|Mérida, Yucatán
MMML|General Rodolfo Sánchez Taboada International Airport|Mexicali, Baja California
MMMM|General Francisco J. Mujica International Airport|Morelia, Michoacán
MMMT|Minatitlán/Coatzacoalcos National Airport|Minatitlán, Veracruz
MMMV|Venustiano Carranza International Airport|Monclova, Coahuila
MMMX|Lic. Benito Juárez International Airport|Mexico City, Distrito Federal
MMMY|General Mariano Escobedo International Airport|Monterrey, Nuevo León
MMMZ|General Rafael Buelna International Airport|Mazatlán, Sinaloa
MMNL|Quetzalcóatl International Airport|Nuevo Laredo, Tamaulipas
MMOX|Xoxocotlán International Airport|Oaxaca, Oaxaca
MMPA|El Tajín National Airport|Poza Rica, Veracruz
MMPB|Hermanos Serdán International Airport|Puebla, Puebla
MMPG|Piedras Negras International Airport|Piedras Negras, Coahuila
MMPN|Lic. y Gen. Ignacio López Rayón Airport|Uruapan, Michoacán
MMPR|Lic. Gustavo Díaz Ordaz International Airport|Puerto Vallarta, Jalisco
MMPS|Puerto Escondido International Airport|Puerto Escondido, Oaxaca
MMQT|Ing. Fernando Espinoza Gutiérrez International Airport|Querétaro, Querétaro
MMRX|General Lucio Blanco International Airport|Reynosa, Tamaulipas
MMSC|San Cristóbal de las Casas National Airport (Aeropuerto Nacional de San Cristóbal de las Casas)|Chiapas
MMSD|Los Cabos International Airport|Los Cabos, Baja California Sur
MMSL|Cabo San Lucas International Airport|Cabo San Lucas, Baja California Sur
MMSP|Ponciano Arriaga International Airport|San Luis Potosí, San Luis Potosí
MMTC|Francisco Sarabia International Airport a.k.a. Torreón International Airport|Torreón, Coahuila
MMTG|Francisco Sarabia National Airport a.k.a. Angel Albino Corzo Airport|Tuxtla Gutiérrez, Chiapas
MMTJ|General Abelardo L. Rodríguez International Airport|Tijuana, Baja California
MMTM|General Francisco Javier Mina International Airport|Tampico, Tamaulipas
MMTN|Tamuín National Airport|Tamuín, San Luis Potosí
MMTO|Lic. Adolfo López Mateos International Airport|Toluca, Estado de México
MMTP|Tapachula International Airport|Tapachula, Chiapas
MMUN|Cancún International Airport|Cancún, Quintana Roo
MMVA|Carlos Rovirosa Pérez International Airport|Villahermosa, Tabasco
MMVR|General Heriberto Jara International Airport|Veracruz, Veracruz
MMZC|General Leobardo C. Ruiz International Airport a.k.a. La Calera Airport|Zacatecas, Zacatecas
MMZH|Ixtapa-Zihuatanejo International Airport|Ixtapa-Zihuatanejo, Guerrero
MMZO|Playa de Oro International Airport|Manzanillo, Colima
MNAL|Alamikamba Airport|Alamikamba, RAAN (Zelaya)
MNAM|Altmira Airport|Altmira, Boaco
MNBC|Boaco Airport|Boaco, Boaco
MNBL|Bluefields Airport|Bluefields, RAAS (Zelaya)
MNBR|Los Brasiles Airport|Los Brasiles, Managua
MNBZ|Bonanza Airport (San Pedro)|Bonanza, RAAN (Zelaya)
MNCH|Chinandega Airport|Chinandega, Chinandega
MNCI|Corn Island Airport|Corn Island, RAAS (Zelaya)
MNCT|Corinto Airport|Corinto, Chinandega
MNDM|Dos Montes Airport|Dos Montes, León
MNEP|La Esperanza Airport|La Esperanza, RAAS (Zelaya)
MNES|Estelí Airport|Estelí, Estelí
MNFC|Punta Huete Airport (Panchito)|Punta Huete, Managua
MNFF|El Bluff Airport|El Bluff, RAAS (Zelaya)
MNFM|Fertimar Airport|Fertimar, Chontales
MNHG|Hato Grande Airport|Hato Grande, Chontales
MNJG|Jinotega Airport|Jinotega, Jinotega
MNJU|Juigalpa Airport|Juigalpa, Chontales
MNKW|Karawala Airport|Karawala, RAAS (Zelaya)
MNLL|Las Lajas Airport|Las Lajas, Granada
MNLN|León Airport (Fanor Urroz)|León, León
MNLP|La Paloma Airport|La Paloma, Rivas
MNMA|Macantaca Airport|Macantaca (Makantaca), RAAN (Zelaya)
MNMG|Managua International Airport (Augusto Cesar Sandino Intl)|Managua, Managua
MNMR|Montelimar Airport|Montelimar, Managua
MNNG|Nueva Guinea Airport|Nueva Guinea, RAAS (Zelaya)
MNPC|Puerto Cabezas Airport|Puerto Cabezas, RAAN (Zelaya)
MNPP|El Papalonal Airport|El Papalonal, León
MNPR|Palo Ralo Airport|Palo Ralo, Río San Juan
